class, exp, lyamda, value
1,1,196.09,33
1,1,196.13,42
1,1,196.17,45.6
1,1,196.22,42.2
1,1,196.26,-43.6
1,1,196.3,30.6
1,1,196.34,63.6
1,1,196.38,63.8
1,1,196.42,-16.2
1,1,196.46,-30.6
1,1,196.51,56.6
1,1,196.55,26
1,1,196.59,40.2
1,1,196.63,43
1,1,196.67,38.6
1,1,196.71,24.2
1,1,196.75,51.6
1,1,196.79,84.2
1,1,196.84,1.2
1,1,196.88,-35.6
1,1,196.92,-15.6
1,1,196.96,39.2
1,1,197,16.8
1,1,197.04,57.4
1,1,197.08,34.4
1,1,197.12,-73.2
1,1,197.17,6
1,1,197.21,-3
1,1,197.25,-23.8
1,1,197.29,49
1,1,197.33,48
1,1,197.37,-28.6
1,1,197.41,2.4
1,1,197.45,-18.2
1,1,197.5,27.2
1,1,197.54,40.4
1,1,197.58,60.2
1,1,197.62,10.4
1,1,197.66,35.8
1,1,197.7,63.6
1,1,197.74,29.4
1,1,197.78,56.4
1,1,197.82,-15
1,1,197.87,27.6
1,1,197.91,48
1,1,197.95,-3.8
1,1,197.99,-24.8
1,1,198.03,-5.6
1,1,198.07,53.8
1,1,198.11,-26.6
1,1,198.15,13.4
1,1,198.19,49.8
1,1,198.24,32.6
1,1,198.28,87.6
1,1,198.32,66.2
1,1,198.36,30.2
1,1,198.4,-2.6
1,1,198.44,25.6
1,1,198.48,34.8
1,1,198.52,5.6
1,1,198.56,31
1,1,198.61,55.4
1,1,198.65,72.6
1,1,198.69,-6.2
1,1,198.73,-10.6
1,1,198.77,19.8
1,1,198.81,12.8
1,1,198.85,22
1,1,198.89,62.8
1,1,198.93,-20.4
1,1,198.97,52
1,1,199.02,-38.6
1,1,199.06,9
1,1,199.1,-29.6
1,1,199.14,0
1,1,199.18,56.6
1,1,199.22,-6.4
1,1,199.26,93.6
1,1,199.3,-10.6
1,1,199.34,37
1,1,199.38,-4.6
1,1,199.42,30.2
1,1,199.47,11.8
1,1,199.51,9.8
1,1,199.55,11
1,1,199.59,76.8
1,1,199.63,59.2
1,1,199.67,30.8
1,1,199.71,1.8
1,1,199.75,44.6
1,1,199.79,65.4
1,1,199.83,57.6
1,1,199.87,-1.2
1,1,199.92,56.2
1,1,199.96,-25.4
1,1,200,-14.8
1,1,200.04,-29.8
1,1,200.08,66.4
1,1,200.12,13.2
1,1,200.16,-34
1,1,200.2,-7.6
1,1,200.24,34.6
1,1,200.28,5
1,1,200.32,64
1,1,200.36,37.2
1,1,200.4,21.6
1,1,200.45,13.6
1,1,200.49,15.4
1,1,200.53,35.4
1,1,200.57,-33.4
1,1,200.61,47.4
1,1,200.65,-13.8
1,1,200.69,79
1,1,200.73,-39
1,1,200.77,-22.6
1,1,200.81,68.8
1,1,200.85,-0.59998
1,1,200.89,5.2
1,1,200.93,-7.2
1,1,200.98,-16.2
1,1,201.02,19.6
1,1,201.06,107.8
1,1,201.1,0.40002
1,1,201.14,87.4
1,1,201.18,1.8
1,1,201.22,40.8
1,1,201.26,18.6
1,1,201.3,-7
1,1,201.34,36.8
1,1,201.38,-52.2
1,1,201.42,55
1,1,201.46,25.4
1,1,201.5,-10
1,1,201.54,34
1,1,201.58,25.6
1,1,201.63,28.4
1,1,201.67,17.6
1,1,201.71,23
1,1,201.75,60.8
1,1,201.79,-11.8
1,1,201.83,51.2
1,1,201.87,-2.8
1,1,201.91,60
1,1,201.95,49
1,1,201.99,-33
1,1,202.03,59.8
1,1,202.07,-23.6
1,1,202.11,51.6
1,1,202.15,19.6
1,1,202.19,60.8
1,1,202.23,-76
1,1,202.27,-28
1,1,202.31,29.2
1,1,202.36,114.6
1,1,202.4,-31
1,1,202.44,17.8
1,1,202.48,5.8
1,1,202.52,29.6
1,1,202.56,0.79999
1,1,202.6,98.6
1,1,202.64,-11.6
1,1,202.68,38.6
1,1,202.72,48.6
1,1,202.76,46
1,1,202.8,37.4
1,1,202.84,-8.2
1,1,202.88,49
1,1,202.92,14.6
1,1,202.96,-11.4
1,1,203,13
1,1,203.04,46.6
1,1,203.08,-6
1,1,203.12,74
1,1,203.16,56.8
1,1,203.2,30.4
1,1,203.24,-42.2
1,1,203.28,55.8
1,1,203.33,-12.6
1,1,203.37,0.40002
1,1,203.41,-16.6
1,1,203.45,71.4
1,1,203.49,25.2
1,1,203.53,94
1,1,203.57,-50.2
1,1,203.61,0
1,1,203.65,24
1,1,203.69,27.6
1,1,203.73,67.6
1,1,203.77,25
1,1,203.81,39.2
1,1,203.85,122
1,1,203.89,35.2
1,1,203.93,107.2
1,1,203.97,61.8
1,1,204.01,21.4
1,1,204.05,18.6
1,1,204.09,63.6
1,1,204.13,61.4
1,1,204.17,49
1,1,204.21,15.8
1,1,204.25,43.8
1,1,204.29,30
1,1,204.33,48.4
1,1,204.37,0.79999
1,1,204.41,4.6
1,1,204.45,44.4
1,1,204.49,40
1,1,204.53,67.6
1,1,204.57,2.2
1,1,204.61,-2
1,1,204.65,105.4
1,1,204.69,41.2
1,1,204.73,88
1,1,204.77,23.8
1,1,204.81,10
1,1,204.85,15.4
1,1,204.89,31
1,1,204.93,25
1,1,204.97,-77
1,1,205.01,41.6
1,1,205.05,-62.4
1,1,205.1,29.4
1,1,205.14,52
1,1,205.18,10.6
1,1,205.22,27.4
1,1,205.26,68.2
1,1,205.3,9.4
1,1,205.34,28.8
1,1,205.38,57.6
1,1,205.42,104.6
1,1,205.46,-13
1,1,205.5,37.2
1,1,205.54,24.2
1,1,205.58,81.8
1,1,205.62,11.6
1,1,205.66,52.8
1,1,205.7,10.4
1,1,205.74,-21.4
1,1,205.78,2.8
1,1,205.82,71.4
1,1,205.86,45.6
1,1,205.9,-6.6
1,1,205.94,49.4
1,1,205.98,46
1,1,206.02,28
1,1,206.06,35.8
1,1,206.1,9.6
1,1,206.14,65.8
1,1,206.18,26
1,1,206.22,3.8
1,1,206.26,85.8
1,1,206.3,10.8
1,1,206.34,-13.4
1,1,206.37,29.6
1,1,206.41,10.4
1,1,206.45,16
1,1,206.49,-13.6
1,1,206.53,90.6
1,1,206.57,87.4
1,1,206.61,50.2
1,1,206.65,104
1,1,206.69,6.6
1,1,206.73,57.4
1,1,206.77,31
1,1,206.81,-43.2
1,1,206.85,8
1,1,206.89,30.6
1,1,206.93,-45.2
1,1,206.97,-71.6
1,1,207.01,48.2
1,1,207.05,-4.6
1,1,207.09,75.4
1,1,207.13,-43.6
1,1,207.17,-16
1,1,207.21,26.8
1,1,207.25,44.6
1,1,207.29,48
1,1,207.33,108.2
1,1,207.37,26
1,1,207.41,-26.6
1,1,207.45,-29
1,1,207.49,41.8
1,1,207.53,-14.6
1,1,207.57,34.4
1,1,207.61,84.4
1,1,207.65,-42.2
1,1,207.69,54.2
1,1,207.73,11.4
1,1,207.77,38
1,1,207.81,39.6
1,1,207.85,36.4
1,1,207.89,19.6
1,1,207.93,39.8
1,1,207.97,-9.4
1,1,208.01,-20.6
1,1,208.05,40.2
1,1,208.09,26.2
1,1,208.12,15.8
1,1,208.16,10.4
1,1,208.2,23.8
1,1,208.24,69.4
1,1,208.28,84.2
1,1,208.32,78.8
1,1,208.36,12.6
1,1,208.4,-36.8
1,1,208.44,-25.4
1,1,208.48,63.8
1,1,208.52,65.2
1,1,208.56,66.2
1,1,208.6,13.4
1,1,208.64,83.8
1,1,208.68,2.6
1,1,208.72,43
1,1,208.76,16.8
1,1,208.8,48.2
1,1,208.84,49.4
1,1,208.88,-13.8
1,1,208.92,-6
1,1,208.96,27.2
1,1,209,33.6
1,1,209.03,43
1,1,209.07,56
1,1,209.11,-37.2
1,1,209.15,79.8
1,1,209.19,73
1,1,209.23,30.8
1,1,209.27,-29.8
1,1,209.31,17.4
1,1,209.35,21.6
1,1,209.39,39.6
1,1,209.43,77.6
1,1,209.47,0
1,1,209.51,61.8
1,1,209.55,2.8
1,1,209.59,60.4
1,1,209.63,25
1,1,209.67,-46.4
1,1,209.71,-34.4
1,1,209.74,-1
1,1,209.78,-32.6
1,1,209.82,33
1,1,209.86,29.8
1,1,209.9,32.2
1,1,209.94,27.6
1,1,209.98,35.6
1,1,210.02,-7.6
1,1,210.06,29.4
1,1,210.1,-28
1,1,210.14,-7.2
1,1,210.18,63.2
1,1,210.22,24
1,1,210.26,14.2
1,1,210.3,-3.4
1,1,210.33,-24.8
1,1,210.37,78.2
1,1,210.41,18
1,1,210.45,72
1,1,210.49,-14
1,1,210.53,47.6
1,1,210.57,8.8
1,1,210.61,44.8
1,1,210.65,-1
1,1,210.69,41.8
1,1,210.73,17.6
1,1,210.77,-10.4
1,1,210.81,60.2
1,1,210.85,-20.6
1,1,210.88,20.2
1,1,210.92,53
1,1,210.96,64.4
1,1,211,-8
1,1,211.04,3
1,1,211.08,65.6
1,1,211.12,-22.6
1,1,211.16,46.6
1,1,211.2,55.2
1,1,211.24,75.6
1,1,211.28,81
1,1,211.32,57.6
1,1,211.35,34.2
1,1,211.39,2.8
1,1,211.43,91.2
1,1,211.47,4.8
1,1,211.51,27
1,1,211.55,3
1,1,211.59,18.8
1,1,211.63,44.6
1,1,211.67,-16.8
1,1,211.71,3.4
1,1,211.75,41.8
1,1,211.78,10.4
1,1,211.82,26.6
1,1,211.86,-14.6
1,1,211.9,42.4
1,1,211.94,22.4
1,1,211.98,23.8
1,1,212.02,30
1,1,212.06,-15.2
1,1,212.1,-33.4
1,1,212.14,17.2
1,1,212.18,32
1,1,212.21,44.6
1,1,212.25,-9.8
1,1,212.29,62.4
1,1,212.33,50.6
1,1,212.37,94.2
1,1,212.41,124.6
1,1,212.45,-81.2
1,1,212.49,30.8
1,1,212.53,13
1,1,212.57,72.2
1,1,212.6,18.4
1,1,212.64,30
1,1,212.68,52.8
1,1,212.72,97.2
1,1,212.76,68.4
1,1,212.8,40.6
1,1,212.84,59.2
1,1,212.88,32.4
1,1,212.92,-20
1,1,212.95,45.6
1,1,212.99,50
1,1,213.03,47.6
1,1,213.07,1.6
1,1,213.11,-21
1,1,213.15,-23.6
1,1,213.19,16.4
1,1,213.23,-60
1,1,213.27,-19
1,1,213.3,13.4
1,1,213.34,15.8
1,1,213.38,17.6
1,1,213.42,56.2
1,1,213.46,78.4
1,1,213.5,-9
1,1,213.54,20.2
1,1,213.58,20
1,1,213.61,40
1,1,213.65,56.2
1,1,213.69,60.4
1,1,213.73,46.4
1,1,213.77,43.4
1,1,213.81,-6.4
1,1,213.85,14
1,1,213.89,12.8
1,1,213.92,-8
1,1,213.96,63.4
1,1,214,-20
1,1,214.04,32
1,1,214.08,-27
1,1,214.12,33.4
1,1,214.16,36.6
1,1,214.2,56.2
1,1,214.23,38.6
1,1,214.27,0
1,1,214.31,29
1,1,214.35,64.6
1,1,214.39,-29.2
1,1,214.43,-17.6
1,1,214.47,-5.8
1,1,214.5,-18.8
1,1,214.54,28
1,1,214.58,24
1,1,214.62,59.6
1,1,214.66,20.4
1,1,214.7,91.6
1,1,214.74,28.2
1,1,214.78,19.2
1,1,214.81,-46.2
1,1,214.85,-18.8
1,1,214.89,75.6
1,1,214.93,17.2
1,1,214.97,54.6
1,1,215.01,24.2
1,1,215.05,-4.4
1,1,215.08,61.6
1,1,215.12,7
1,1,215.16,24.4
1,1,215.2,37.2
1,1,215.24,63.6
1,1,215.28,57.8
1,1,215.32,84.8
1,1,215.35,19.6
1,1,215.39,61.2
1,1,215.43,43.4
1,1,215.47,43.6
1,1,215.51,-5.6
1,1,215.55,25.2
1,1,215.58,99.4
1,1,215.62,26.4
1,1,215.66,57.8
1,1,215.7,29.4
1,1,215.74,-6.4
1,1,215.78,46.6
1,1,215.82,73.4
1,1,215.85,29
1,1,215.89,100.8
1,1,215.93,108.6
